Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG15630,NA,NA,CG8839,CG3704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15631,NA,NA,CG8850,CG3714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15642,NA,NA,CG8852,CG3719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15649,NA,NA,CG8854,CG3735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15650,NA,NA,CG8891,CG3740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15653,NA,NA,CG8908,CG3748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15657,NA,NA,CG8945,CG3756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15661,NA,NA,CG9018,CG3770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15673,NA,NA,CG9021,CG3775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15674,NA,NA,CG9034,CG3776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15701,NA,NA,CG9065,CG3777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15705,NA,NA,CG9067,CG3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15706,NA,NA,CG9084,CG3790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15710,NA,NA,CG9098,CG3793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15711,NA,NA,CG9107,CG3803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15712,NA,NA,CG9109,CG3812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15717,NA,NA,CG9114,CG3829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15719,NA,NA,CG9119,CG3831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1572,NA,NA,CG9121,CG3876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15725,NA,NA,CG9125,CG3880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15728,NA,NA,CG9132,CG3906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15734,NA,NA,CG9150,CG3939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15735,NA,NA,CG9164,CG3961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15739,NA,NA,CG9186,CG3964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15740,NA,NA,CG9205,CG4009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15742,NA,NA,CG9231,CG4017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15747,NA,NA,CG9279,CG4020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1575,NA,NA,CG9330,CG4036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15756,NA,NA,CG9344,CG4038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15764,NA,NA,CG9360,CG4042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15765,NA,NA,CG9372,CG4078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15766,NA,NA,CG9380,CG40813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15771,NA,NA,CG9400,CG4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15772,NA,NA,CG9410,CG41106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15784,NA,NA,CG9416,CG4151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15812,NA,NA,CG9422,CG4161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15818,NA,NA,CG9451,CG4186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15820,NA,NA,CG9485,CG4218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15822,NA,NA,CG9507,CG42233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15829,NA,NA,CG9509,CG42240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15861,NA,NA,CG9515,CG42249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15873,NA,NA,CG9522,CG42269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15877,NA,NA,CG9536,CG42271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15878,NA,NA,CG9547,CG42272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15879,NA,NA,CG9568,CG42336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15881,NA,NA,CG9586,CG42342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15891,NA,NA,CG9596,CG42355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15892,NA,NA,CG9629,CG42369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15894,NA,NA,CG9643,CG42371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15908,NA,NA,CG9664,CG42376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15912,NA,NA,CG9673,CG4239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15919,NA,NA,CG9682,CG42393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG15925,NA,NA,CG9686,CG42540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1598,NA,NA,CG9689,CG42553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1602,NA,NA,CG9691,CG42557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1603,NA,NA,CG9717,CG42559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1607,NA,NA,CG9752,CG42585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1620,NA,NA,CG9775,CG4259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1622,NA,NA,CG9782,CG42592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1628,NA,NA,CG9826,CG42597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1632,NA,NA,CG9849,CG42650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1635,NA,NA,CG9853,CG42658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1636,NA,NA,CG9865,CG42663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1637,NA,NA,CG9886,CG42675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1640,NA,NA,CG9899,CG42685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1646,NA,NA,CG9911,CG4269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1647,NA,NA,CG9919,CG4270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1648,NA,NA,CG9921,CG42700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1657,NA,NA,CG9948,CG42747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1662,NA,NA,CG9960,CG4278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1663,NA,NA,CG9967,CG42784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1665,NA,NA,CG9970,CG42792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16704,NA,NA,chic,CG42809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16713,NA,NA,Chmp1,CG4281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16716,NA,NA,CHMP2B,CG42813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16721,NA,NA,CHOp24,CG42817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1673,NA,NA,Cht2,CG42820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16741,NA,NA,Cht6,CG42822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16753,NA,NA,CIA30,CG42823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16758,NA,NA,Cib2,CG42834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16762,NA,NA,cin,CG42835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1677,NA,NA,Cisd2,CG42851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16772,NA,NA,CkIIalpha-i3,CG42855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16781,NA,NA,ckn,CG4286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16782,NA,NA,cl,CG4302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16787,NA,NA,Clbn,CG43052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16791,NA,NA,Clc,CG43058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16799,NA,NA,Clic,CG4306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16800,NA,NA,CLS,CG43066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16812,NA,NA,clt,CG43107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16813,NA,NA,cmpy,CG43112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16815,NA,NA,cN-IIIB,CG43134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16820,NA,NA,CngA,CG43136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16825,NA,NA,CngB,CG43138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16826,NA,NA,cni,CG43153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16833,NA,NA,cnir,CG4318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16837,NA,NA,CNMa,CG43183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16852,NA,NA,CNT1,CG43190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16853,NA,NA,Cnx99A,CG4324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16863,NA,NA,Cog7,CG43288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16865,NA,NA,colt,CG43320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16868,NA,NA,cona,CG43321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16884,NA,NA,conv,CG43325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16885,NA,NA,cora,CG43331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16890,NA,NA,COX4,CG43338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16894,NA,NA,COX5B,CG43400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16896,NA,NA,COX5BL,CG4363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16903,NA,NA,COX7C,CG4364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16926,NA,NA,COX8,CG43691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16935,NA,NA,Cp110,CG4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16940,NA,NA,cpa,CG4377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16941,NA,NA,cpb,CG4382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16947,NA,NA,Cpr11B,CG4386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1698,NA,NA,Cpr30B,CG43861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16984,NA,NA,Cpr47Ee,CG43935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16985,NA,NA,Cpr49Ab,CG44002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16986,NA,NA,Cpr49Af,CG4404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16995,NA,NA,Cpr51A,CG4409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG16998,NA,NA,Cpr57A,CG4415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17002,NA,NA,Cpr60D,CG44271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1701,NA,NA,Cpr64Aa,CG44325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17019,NA,NA,Cpr64Ad,CG4433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1703,NA,NA,Cpr65Ec,CG4438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17030,NA,NA,Cpr78Ca,CG44433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17047,NA,NA,Cpr78E,CG44435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17048,NA,NA,Cpsf100,CG4480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17059,NA,NA,CPT2,CG4495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17075,NA,NA,CREG,CG4496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17078,NA,NA,CRIF,CG4497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17098,NA,NA,crn,CG45002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17118,NA,NA,crq,CG4553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17124,NA,NA,Csas,CG4554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17129,NA,NA,Csat,CG4563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17134,NA,NA,CSN4,CG4577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17140,NA,NA,CSN5,CG4585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17159,NA,NA,CSN8,CG4586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17163,NA,NA,Ctr1A,CG4593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17168,NA,NA,CtsB1,CG4594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17180,NA,NA,cuff,CG4610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17190,NA,NA,Cul2,CG4611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17193,NA,NA,cv,CG4627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17196,NA,NA,cv-2,CG4629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17219,NA,NA,Cwc25,CG4630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17221,NA,NA,cyc,CG4631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17224,NA,NA,CycK,CG4650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17233,NA,NA,CycY,CG4653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17237,NA,NA,CYLD,CG4658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17242,NA,NA,Cyp1,CG4660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17249,NA,NA,Cyp12b2,CG4661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17258,NA,NA,Cyp12d1-d,CG4666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17260,NA,NA,Cyp28d1,CG4669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17261,NA,NA,Cyp301a1,CG4676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17266,NA,NA,Cyp303a1,CG4679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17278,NA,NA,Cyp309a2,CG4681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17283,NA,NA,Cyp310a1,CG4691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17287,NA,NA,cyp33,CG4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17290,NA,NA,Cyp49a1,CG4709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17292,NA,NA,Cyp4aa1,CG4712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17294,NA,NA,Cyp4ac1,CG4714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17322,NA,NA,Cyp4ae1,CG4716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17323,NA,NA,Cyp4d14,CG4741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17328,NA,NA,Cyp4d20,CG4743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17333,NA,NA,Cyp4d8,CG4752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17344,NA,NA,Cyp4g15,CG4766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17349,NA,NA,Cyp4p3,CG4768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1737,NA,NA,Cyp6a17,CG4781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17378,NA,NA,Cyp6a18,CG4788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1738,NA,NA,Cyp6a9,CG4797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17385,NA,NA,Cyp6g2,CG4806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17475,NA,NA,Cyp6t3,CG4822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17493,NA,NA,Cyp9c1,CG4825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1750,NA,NA,Cyp9h1,CG4836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17528,NA,NA,Cyt-b5,CG4866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17544,NA,NA,Cyt-c-p,CG4872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17549,NA,NA,Cyt-c1,CG4882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17562,NA,NA,Cyt-c1L,CG4891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17564,NA,NA,d,CG4892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17565,NA,NA,D19B,CG4901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17568,NA,NA,Dak1,CG4908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17572,NA,NA,Damm,CG4927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17574,NA,NA,dan,CG4935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17575,NA,NA,dare,CG4949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17580,NA,NA,Dark,CG4951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17593,NA,NA,Dbi,CG4955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17598,NA,NA,Dbp21E2,CG4960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17601,NA,NA,dbr,CG4970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17612,NA,NA,DCTN2-p50,CG4972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17633,NA,NA,DCTN3-p24,CG4975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17646,NA,NA,DCTN5-p25,CG4983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17652,NA,NA,DCTN6-p27,CG4988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17658,NA,NA,Ddr,CG4991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17660,NA,NA,Debcl,CG4995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17669,NA,NA,Decay,CG5001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17680,NA,NA,del,CG5002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17683,NA,NA,deltaCOP,CG5004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17691,NA,NA,Den1,CG5009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17712,NA,NA,DENR,CG5022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17737,NA,NA,Der-1,CG5024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17739,NA,NA,Der-2,CG5028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17746,NA,NA,Desat2,CG5033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17760,NA,NA,Dfd,CG5043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17765,NA,NA,Dgkepsilon,CG5050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17768,NA,NA,dgo,CG5059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17770,NA,NA,Dh31,CG5062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17802,NA,NA,Dh31-R,CG5084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17806,NA,NA,Dhc36C,CG5103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17807,NA,NA,Dhc62B,CG5107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17829,NA,NA,Dhc64C,CG5110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17834,NA,NA,Dhc98D,CG5111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17841,NA,NA,Dhfr,CG5112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1785,NA,NA,DhpD,CG5116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17855,NA,NA,Dic3,CG5122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17883,NA,NA,Dif,CG5131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1789,NA,NA,DIP-alpha,CG5147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17896,NA,NA,DIP-iota,CG5149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17904,NA,NA,DIP-theta,CG5162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17906,NA,NA,DIP1,CG5168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17917,NA,NA,disco-r,CG5171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17919,NA,NA,dj,CG5177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1792,NA,NA,dj-1beta,CG5188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17928,NA,NA,Dlc90F,CG5199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17930,NA,NA,Dlip1,CG5217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17931,NA,NA,DNApol-gamma35,CG5246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17944,NA,NA,DNaseII,CG5254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17959,NA,NA,Dnz1,CG5255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17982,NA,NA,Doa,CG5262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17994,NA,NA,dob,CG5290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17996,NA,NA,dor,CG5321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG17999,NA,NA,Dot,CG5323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18003,NA,NA,Dpck,CG5339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18004,NA,NA,Dpit47,CG5390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18011,NA,NA,dpr14,CG5432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18012,NA,NA,dpr19,CG5440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18048,NA,NA,dpr3,CG5455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18063,NA,NA,DptA,CG5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18065,NA,NA,DptB,CG5493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18067,NA,NA,Dpy-30L1,CG5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18088,NA,NA,Dpy-30L2,CG5539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18094,NA,NA,Drat,CG5541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18095,NA,NA,drd,CG5554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18132,NA,NA,Drice,CG5561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18135,NA,NA,Drip,CG5565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1814,NA,NA,drk,CG5569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1815,NA,NA,drl,CG5599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18155,NA,NA,drm,CG5612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18170,NA,NA,Drs,CG5613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18173,NA,NA,dsb,CG5621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18190,NA,NA,dsf,CG5646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18213,NA,NA,Dsk,CG5662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18223,NA,NA,Dyrk3,CG5687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18231,NA,NA,Dysb,CG5693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG1824,NA,NA,e(r),CG5694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18262,NA,NA,E(spl)m6-BFM,CG5731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG18266,NA,NA,e(y)2b,CG5755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
