Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG14238,NA,NA,CG31743,CG31051,NA,NA,NA,NA,NA,CG8661,NA,NA,NA,NA,NA
CG14244,NA,NA,CG31750,CG31055,NA,NA,NA,NA,NA,CG8668,NA,NA,NA,NA,NA
CG14247,NA,NA,CG31778,CG31075,NA,NA,NA,NA,NA,CG8728,NA,NA,NA,NA,NA
CG14258,NA,NA,CG31787,CG31077,NA,NA,NA,NA,NA,CG8777,NA,NA,NA,NA,NA
CG14262,NA,NA,CG31808,CG31088,NA,NA,NA,NA,NA,CG8778,NA,NA,NA,NA,NA
CG14269,NA,NA,CG31813,CG31093,NA,NA,NA,NA,NA,CG8785,NA,NA,NA,NA,NA
CG14275,NA,NA,CG31855,CG31108,NA,NA,NA,NA,NA,CG8788,NA,NA,NA,NA,NA
CG1428,NA,NA,CG31869,CG31131,NA,NA,NA,NA,NA,CG8813,NA,NA,NA,NA,NA
CG14292,NA,NA,CG31908,CG31189,NA,NA,NA,NA,NA,CG8834,NA,NA,NA,NA,NA
CG14294,NA,NA,CG31917,CG31207,NA,NA,NA,NA,NA,CG8840,NA,NA,NA,NA,NA
CG14297,NA,NA,CG31922,CG3121,NA,NA,NA,NA,NA,CG8851,NA,NA,NA,NA,NA
CG14300,NA,NA,CG31928,CG31213,NA,NA,NA,NA,NA,CG8939,NA,NA,NA,NA,NA
CG14304,NA,NA,CG31937,CG31226,NA,NA,NA,NA,NA,CG8958,NA,NA,NA,NA,NA
CG14305,NA,NA,CG31948,CG31231,NA,NA,NA,NA,NA,CG8963,NA,NA,NA,NA,NA
CG14309,NA,NA,CG31950,CG3124,NA,NA,NA,NA,NA,CG8993,NA,NA,NA,NA,NA
CG14313,NA,NA,CG31957,CG31262,NA,NA,NA,NA,NA,CG9034,NA,NA,NA,NA,NA
CG14315,NA,NA,CG31974,CG31265,NA,NA,NA,NA,NA,CG9044,NA,NA,NA,NA,NA
CG14316,NA,NA,CG3209,CG31268,NA,NA,NA,NA,NA,CG9068,NA,NA,NA,NA,NA
CG14317,NA,NA,CG32199,CG31269,NA,NA,NA,NA,NA,CG9123,NA,NA,NA,NA,NA
CG14322,NA,NA,CG32221,CG31275,NA,NA,NA,NA,NA,CG9125,NA,NA,NA,NA,NA
CG14323,NA,NA,CG3223,CG31279,NA,NA,NA,NA,NA,CG9132,NA,NA,NA,NA,NA
CG14325,NA,NA,CG32243,CG31286,NA,NA,NA,NA,NA,CG9135,NA,NA,NA,NA,NA
CG14326,NA,NA,CG32267,CG31287,NA,NA,NA,NA,NA,CG9154,NA,NA,NA,NA,NA
CG14327,NA,NA,CG32269,CG31288,NA,NA,NA,NA,NA,CG9231,NA,NA,NA,NA,NA
CG14329,NA,NA,CG32270,CG31360,NA,NA,NA,NA,NA,CG9300,NA,NA,NA,NA,NA
CG14330,NA,NA,CG32276,CG31418,NA,NA,NA,NA,NA,CG9304,NA,NA,NA,NA,NA
CG14331,NA,NA,CG32278,CG31473,NA,NA,NA,NA,NA,CG9360,NA,NA,NA,NA,NA
CG14332,NA,NA,CG32280,CG3149,NA,NA,NA,NA,NA,CG9368,NA,NA,NA,NA,NA
CG14339,NA,NA,CG32368,CG31496,NA,NA,NA,NA,NA,CG9410,NA,NA,NA,NA,NA
CG1434,NA,NA,CG32376,CG31542,NA,NA,NA,NA,NA,CG9411,NA,NA,NA,NA,NA
CG14340,NA,NA,CG32379,CG31551,NA,NA,NA,NA,NA,CG9413,NA,NA,NA,NA,NA
CG14341,NA,NA,CG3238,CG31560,NA,NA,NA,NA,NA,CG9505,NA,NA,NA,NA,NA
CG14342,NA,NA,CG32395,CG31606,NA,NA,NA,NA,NA,CG9515,NA,NA,NA,NA,NA
CG14346,NA,NA,CG32409,CG31609,NA,NA,NA,NA,NA,CG9518,NA,NA,NA,NA,NA
CG14352,NA,NA,CG32413,CG31644,NA,NA,NA,NA,NA,CG9531,NA,NA,NA,NA,NA
CG14353,NA,NA,CG32425,CG31661,NA,NA,NA,NA,NA,CG9586,NA,NA,NA,NA,NA
CG14354,NA,NA,CG32428,CG31664,NA,NA,NA,NA,NA,CG9662,NA,NA,NA,NA,NA
CG1440,NA,NA,CG32448,CG31677,NA,NA,NA,NA,NA,CG9666,NA,NA,NA,NA,NA
CG14407,NA,NA,CG32533,CG31694,NA,NA,NA,NA,NA,CG9672,NA,NA,NA,NA,NA
CG14411,NA,NA,CG32563,CG31698,NA,NA,NA,NA,NA,CG9691,NA,NA,NA,NA,NA
CG14416,NA,NA,CG32641,CG31702,NA,NA,NA,NA,NA,CG9723,NA,NA,NA,NA,NA
CG14417,NA,NA,CG32649,CG31717,NA,NA,NA,NA,NA,CG9806,NA,NA,NA,NA,NA
CG14420,NA,NA,CG32668,CG31731,NA,NA,NA,NA,NA,CG9812,NA,NA,NA,NA,NA
CG14421,NA,NA,CG3267,CG31735,NA,NA,NA,NA,NA,CG9876,NA,NA,NA,NA,NA
CG14427,NA,NA,CG32694,CG31740,NA,NA,NA,NA,NA,CG9917,NA,NA,NA,NA,NA
CG14431,NA,NA,CG32695,CG31741,NA,NA,NA,NA,NA,CG9953,NA,NA,NA,NA,NA
CG14434,NA,NA,CG32698,CG31750,NA,NA,NA,NA,NA,CG9961,NA,NA,NA,NA,NA
CG14438,NA,NA,CG32700,CG31752,NA,NA,NA,NA,NA,CG9992,NA,NA,NA,NA,NA
CG14440,NA,NA,CG32767,CG31773,NA,NA,NA,NA,NA,Chd1,NA,NA,NA,NA,NA
CG14445,NA,NA,CG32801,CG31776,NA,NA,NA,NA,NA,CheA7a,NA,NA,NA,NA,NA
CG14455,NA,NA,CG32845,CG31778,NA,NA,NA,NA,NA,cher,NA,NA,NA,NA,NA
CG14459,NA,NA,CG32944,CG31784,NA,NA,NA,NA,NA,CHKov1,NA,NA,NA,NA,NA
CG14478,NA,NA,CG3295,CG31787,NA,NA,NA,NA,NA,CHKov2,NA,NA,NA,NA,NA
CG14488,NA,NA,CG32983,CG31789,NA,NA,NA,NA,NA,Chmp1,NA,NA,NA,NA,NA
CG14490,NA,NA,CG33017,CG31797,NA,NA,NA,NA,NA,chn,NA,NA,NA,NA,NA
CG14491,NA,NA,CG3308,CG31798,NA,NA,NA,NA,NA,Cht2,NA,NA,NA,NA,NA
CG14492,NA,NA,CG33080,CG31802,NA,NA,NA,NA,NA,Cht6,NA,NA,NA,NA,NA
CG14505,NA,NA,CG33143,CG31803,NA,NA,NA,NA,NA,cib,NA,NA,NA,NA,NA
CG14506,NA,NA,CG33144,CG31808,NA,NA,NA,NA,NA,cindr,NA,NA,NA,NA,NA
CG14507,NA,NA,CG33181,CG31813,NA,NA,NA,NA,NA,Cip4,NA,NA,NA,NA,NA
CG14515,NA,NA,CG33203,CG31815,NA,NA,NA,NA,NA,Cka,NA,NA,NA,NA,NA
CG14516,NA,NA,CG33217,CG31819,NA,NA,NA,NA,NA,cl,NA,NA,NA,NA,NA
CG14527,NA,NA,CG33229,CG31820,NA,NA,NA,NA,NA,CLIP-190,NA,NA,NA,NA,NA
CG14537,NA,NA,CG33298,CG31851,NA,NA,NA,NA,NA,clos,NA,NA,NA,NA,NA
CG14540,NA,NA,CG33299,CG31882,NA,NA,NA,NA,NA,cm,NA,NA,NA,NA,NA
CG14543,NA,NA,CG33301,CG31907,NA,NA,NA,NA,NA,cmpy,NA,NA,NA,NA,NA
CG14544,NA,NA,CG33303,CG31909,NA,NA,NA,NA,NA,cnn,NA,NA,NA,NA,NA
CG14545,NA,NA,CG33307,CG31910,NA,NA,NA,NA,NA,Cnx99A,NA,NA,NA,NA,NA
CG14546,NA,NA,CG33346,CG31921,NA,NA,NA,NA,NA,cold,NA,NA,NA,NA,NA
CG14551,NA,NA,CG3344,CG31924,NA,NA,NA,NA,NA,cora,NA,NA,NA,NA,NA
CG14565,NA,NA,CG33453,CG31928,NA,NA,NA,NA,NA,corolla,NA,NA,NA,NA,NA
CG14566,NA,NA,CG33469,CG31933,NA,NA,NA,NA,NA,COX4,NA,NA,NA,NA,NA
CG14567,NA,NA,CG33474,CG31950,NA,NA,NA,NA,NA,COX8,NA,NA,NA,NA,NA
CG14568,NA,NA,CG33475,CG31955,NA,NA,NA,NA,NA,Cp1,NA,NA,NA,NA,NA
CG14569,NA,NA,CG33476,CG31975,NA,NA,NA,NA,NA,Cp110,NA,NA,NA,NA,NA
CG14570,NA,NA,CG3348,CG31988,NA,NA,NA,NA,NA,Cp7Fb,NA,NA,NA,NA,NA
CG14589,NA,NA,CG33483,CG3213,NA,NA,NA,NA,NA,Cp7Fc,NA,NA,NA,NA,NA
CG14598,NA,NA,CG33514,CG3215,NA,NA,NA,NA,NA,cpa,NA,NA,NA,NA,NA
CG14605,NA,NA,CG33557,CG32199,NA,NA,NA,NA,NA,Cpr100A,NA,NA,NA,NA,NA
CG14606,NA,NA,CG3356,CG32219,NA,NA,NA,NA,NA,Cpr49Aa,NA,NA,NA,NA,NA
CG14609,NA,NA,CG3358,CG32221,NA,NA,NA,NA,NA,Cpr49Ac,NA,NA,NA,NA,NA
CG14610,NA,NA,CG33626,CG32228,NA,NA,NA,NA,NA,Cpr49Ag,NA,NA,NA,NA,NA
CG14624,NA,NA,CG33627,CG3223,NA,NA,NA,NA,NA,Cpr50Ca,NA,NA,NA,NA,NA
CG14625,NA,NA,CG33672,CG32232,NA,NA,NA,NA,NA,Cpr51A,NA,NA,NA,NA,NA
CG14626,NA,NA,CG3368,CG32235,NA,NA,NA,NA,NA,cpx,NA,NA,NA,NA,NA
CG14628,NA,NA,CG33723,CG32237,NA,NA,NA,NA,NA,CREG,NA,NA,NA,NA,NA
CG14629,NA,NA,CG33757,CG32238,NA,NA,NA,NA,NA,crn,NA,NA,NA,NA,NA
CG14630,NA,NA,CG33772,CG32240,NA,NA,NA,NA,NA,csw,NA,NA,NA,NA,NA
CG14631,NA,NA,CG33773,CG32241,NA,NA,NA,NA,NA,CtBP,NA,NA,NA,NA,NA
CG14635,NA,NA,CG33786,CG32243,NA,NA,NA,NA,NA,CtsB1,NA,NA,NA,NA,NA
CG14636,NA,NA,CG33791,CG32246,NA,NA,NA,NA,NA,Cul1,NA,NA,NA,NA,NA
CG14642,NA,NA,CG33798,CG32249,NA,NA,NA,NA,NA,Cul5,NA,NA,NA,NA,NA
CG14644,NA,NA,CG33919,CG32263,NA,NA,NA,NA,NA,cv,NA,NA,NA,NA,NA
CG14645,NA,NA,CG33927,CG32267,NA,NA,NA,NA,NA,cyc,NA,NA,NA,NA,NA
CG14651,NA,NA,CG3394,CG32269,NA,NA,NA,NA,NA,CycG,NA,NA,NA,NA,NA
CG14658,NA,NA,CG33958,CG32270,NA,NA,NA,NA,NA,CycY,NA,NA,NA,NA,NA
CG14659,NA,NA,CG34011,CG32276,NA,NA,NA,NA,NA,Cyp1,NA,NA,NA,NA,NA
CG14662,NA,NA,CG34025,CG32277,NA,NA,NA,NA,NA,Cyp12b2,NA,NA,NA,NA,NA
CG14664,NA,NA,CG34038,CG32301,NA,NA,NA,NA,NA,Cyp12d1-d,NA,NA,NA,NA,NA
CG14668,NA,NA,CG34040,CG32302,NA,NA,NA,NA,NA,Cyp28d1,NA,NA,NA,NA,NA
CG14669,NA,NA,CG34043,CG32319,NA,NA,NA,NA,NA,Cyp309a2,NA,NA,NA,NA,NA
CG14671,NA,NA,CG34051,CG32320,NA,NA,NA,NA,NA,Cyp311a1,NA,NA,NA,NA,NA
CG1468,NA,NA,CG34112,CG32368,NA,NA,NA,NA,NA,Cyp316a1,NA,NA,NA,NA,NA
CG14731,NA,NA,CG34113,CG32376,NA,NA,NA,NA,NA,Cyp318a1,NA,NA,NA,NA,NA
CG14743,NA,NA,CG34116,CG3238,NA,NA,NA,NA,NA,cyp33,NA,NA,NA,NA,NA
CG14752,NA,NA,CG34124,CG32388,NA,NA,NA,NA,NA,Cyp4ac1,NA,NA,NA,NA,NA
CG14756,NA,NA,CG34159,CG32395,NA,NA,NA,NA,NA,Cyp4d14,NA,NA,NA,NA,NA
CG14759,NA,NA,CG34184,CG32413,NA,NA,NA,NA,NA,Cyp4d2,NA,NA,NA,NA,NA
CG14760,NA,NA,CG34195,CG32447,NA,NA,NA,NA,NA,Cyp6a14,NA,NA,NA,NA,NA
CG14763,NA,NA,CG34200,CG32459,NA,NA,NA,NA,NA,Cyp6a18,NA,NA,NA,NA,NA
CG14764,NA,NA,CG34201,CG32461,NA,NA,NA,NA,NA,Cyt-c-p,NA,NA,NA,NA,NA
CG14770,NA,NA,CG34204,CG32487,NA,NA,NA,NA,NA,Cyt-c1L,NA,NA,NA,NA,NA
CG14780,NA,NA,CG34205,CG3251,NA,NA,NA,NA,NA,D19B,NA,NA,NA,NA,NA
CG14787,NA,NA,CG34214,CG32523,NA,NA,NA,NA,NA,D2hgdh,NA,NA,NA,NA,NA
CG14795,NA,NA,CG34216,CG32563,NA,NA,NA,NA,NA,Dak1,NA,NA,NA,NA,NA
CG14797,NA,NA,CG34217,CG32568,NA,NA,NA,NA,NA,dare,NA,NA,NA,NA,NA
CG14798,NA,NA,CG34220,CG32572,NA,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA
CG14806,NA,NA,CG34223,CG32591,NA,NA,NA,NA,NA,Daxx,NA,NA,NA,NA,NA
CG14810,NA,NA,CG34224,CG3264,NA,NA,NA,NA,NA,Dbi,NA,NA,NA,NA,NA
CG14818,NA,NA,CG34228,CG32641,NA,NA,NA,NA,NA,dco,NA,NA,NA,NA,NA
CG14826,NA,NA,CG34253,CG32643,NA,NA,NA,NA,NA,DCTN2-p50,NA,NA,NA,NA,NA
CG14834,NA,NA,CG34259,CG32647,NA,NA,NA,NA,NA,DCTN3-p24,NA,NA,NA,NA,NA
CG14835,NA,NA,CG34266,CG32650,NA,NA,NA,NA,NA,Ddc,NA,NA,NA,NA,NA
CG14838,NA,NA,CG34268,CG32655,NA,NA,NA,NA,NA,del,NA,NA,NA,NA,NA
CG14882,NA,NA,CG34298,CG32668,NA,NA,NA,NA,NA,Den1,NA,NA,NA,NA,NA
CG14891,NA,NA,CG34313,CG3267,NA,NA,NA,NA,NA,Der-1,NA,NA,NA,NA,NA
CG14893,NA,NA,CG34315,CG32686,NA,NA,NA,NA,NA,Desat2,NA,NA,NA,NA,NA
CG14894,NA,NA,CG34325,CG32698,NA,NA,NA,NA,NA,Det,NA,NA,NA,NA,NA
CG14905,NA,NA,CG34354,CG32712,NA,NA,NA,NA,NA,Df31,NA,NA,NA,NA,NA
CG14913,NA,NA,CG3436,CG32718,NA,NA,NA,NA,NA,Dg,NA,NA,NA,NA,NA
CG14915,NA,NA,CG34393,CG32720,NA,NA,NA,NA,NA,Dgkepsilon,NA,NA,NA,NA,NA
CG14921,NA,NA,CG34398,CG32727,NA,NA,NA,NA,NA,Dgp-1,NA,NA,NA,NA,NA
CG14926,NA,NA,CG34408,CG32751,NA,NA,NA,NA,NA,dgt4,NA,NA,NA,NA,NA
CG14929,NA,NA,CG34433,CG32762,NA,NA,NA,NA,NA,Dhc93AB,NA,NA,NA,NA,NA
CG14930,NA,NA,CG34447,CG32767,NA,NA,NA,NA,NA,Diap2,NA,NA,NA,NA,NA
CG14932,NA,NA,CG34448,CG32806,NA,NA,NA,NA,NA,Diedel2,NA,NA,NA,NA,NA
CG14937,NA,NA,CG34450,CG32819,NA,NA,NA,NA,NA,dl,NA,NA,NA,NA,NA
CG14957,NA,NA,CG3499,CG32832,NA,NA,NA,NA,NA,DNApol-epsilon58,NA,NA,NA,NA,NA
CG14958,NA,NA,CG3530,CG32834,NA,NA,NA,NA,NA,DNaseII,NA,NA,NA,NA,NA
CG14960,NA,NA,CG3534,CG32845,NA,NA,NA,NA,NA,dnc,NA,NA,NA,NA,NA
CG14963,NA,NA,CG3548,CG32846,NA,NA,NA,NA,NA,Doa,NA,NA,NA,NA,NA
CG14965,NA,NA,CG3556,CG32944,NA,NA,NA,NA,NA,dob,NA,NA,NA,NA,NA
CG14966,NA,NA,CG3588,CG3295,NA,NA,NA,NA,NA,dos,NA,NA,NA,NA,NA
CG14971,NA,NA,CG3597,CG32983,NA,NA,NA,NA,NA,Dot,NA,NA,NA,NA,NA
CG14974,NA,NA,CG3598,CG32988,NA,NA,NA,NA,NA,Dp1,NA,NA,NA,NA,NA
CG14977,NA,NA,CG3603,CG33054,NA,NA,NA,NA,NA,Dpck,NA,NA,NA,NA,NA
CG14983,NA,NA,CG3604,CG33098,NA,NA,NA,NA,NA,dpn,NA,NA,NA,NA,NA
CG14985,NA,NA,CG3609,CG33125,NA,NA,NA,NA,NA,DptA,NA,NA,NA,NA,NA
CG14989,NA,NA,CG3652,CG33128,NA,NA,NA,NA,NA,Dpy-30L1,NA,NA,NA,NA,NA
CG14990,NA,NA,CG3663,CG33136,NA,NA,NA,NA,NA,Drat,NA,NA,NA,NA,NA
CG14997,NA,NA,CG3700,CG33140,NA,NA,NA,NA,NA,dre4,NA,NA,NA,NA,NA
CG15005,NA,NA,CG3709,CG33144,NA,NA,NA,NA,NA,Dref,NA,NA,NA,NA,NA
CG15011,NA,NA,CG3714,CG33223,NA,NA,NA,NA,NA,Drep2,NA,NA,NA,NA,NA
CG15012,NA,NA,CG3719,CG3323,NA,NA,NA,NA,NA,drk,NA,NA,NA,NA,NA
CG15014,NA,NA,CG3732,CG33234,NA,NA,NA,NA,NA,drl,NA,NA,NA,NA,NA
CG15020,NA,NA,CG3792,CG33252,NA,NA,NA,NA,NA,drm,NA,NA,NA,NA,NA
CG15024,NA,NA,CG3797,CG33278,NA,NA,NA,NA,NA,Drs,NA,NA,NA,NA,NA
CG15034,NA,NA,CG3803,CG3328,NA,NA,NA,NA,NA,dsb,NA,NA,NA,NA,NA
CG15036,NA,NA,CG3808,CG33286,NA,NA,NA,NA,NA,dtn,NA,NA,NA,NA,NA
CG15065,NA,NA,CG3815,CG33287,NA,NA,NA,NA,NA,Dyrk3,NA,NA,NA,NA,NA
CG15067,NA,NA,CG3829,CG33299,NA,NA,NA,NA,NA,e(r),NA,NA,NA,NA,NA
CG15082,NA,NA,CG3847,CG3330,NA,NA,NA,NA,NA,E(spl)m2-BFM,NA,NA,NA,NA,NA
CG15084,NA,NA,CG3860,CG33301,NA,NA,NA,NA,NA,E(spl)malpha-BFM,NA,NA,NA,NA,NA
CG15093,NA,NA,CG3876,CG33308,NA,NA,NA,NA,NA,eas,NA,NA,NA,NA,NA
CG15096,NA,NA,CG3906,CG33333,NA,NA,NA,NA,NA,ecd,NA,NA,NA,NA,NA
CG15098,NA,NA,CG3955,CG33346,NA,NA,NA,NA,NA,EcR,NA,NA,NA,NA,NA
CG15099,NA,NA,CG4004,CG3345,NA,NA,NA,NA,NA,ed,NA,NA,NA,NA,NA
CG15109,NA,NA,CG4009,CG33453,NA,NA,NA,NA,NA,Edg78E,NA,NA,NA,NA,NA
CG15111,NA,NA,CG4036,CG33454,NA,NA,NA,NA,NA,Ef1gamma,NA,NA,NA,NA,NA
CG15115,NA,NA,CG4038,CG33458,NA,NA,NA,NA,NA,EF2,NA,NA,NA,NA,NA
CG15116,NA,NA,CG4042,CG33460,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA
CG15117,NA,NA,CG4045,CG33462,NA,NA,NA,NA,NA,Eglp4,NA,NA,NA,NA,NA
CG15118,NA,NA,CG4050,CG33465,NA,NA,NA,NA,NA,eIF-1A,NA,NA,NA,NA,NA
CG15120,NA,NA,CG4065,CG3347,NA,NA,NA,NA,NA,eIF-2alpha,NA,NA,NA,NA,NA
CG15124,NA,NA,CG4074,CG33475,NA,NA,NA,NA,NA,eIF-4a,NA,NA,NA,NA,NA
CG15125,NA,NA,CG40813,CG33476,NA,NA,NA,NA,NA,eIF-5A,NA,NA,NA,NA,NA
CG15128,NA,NA,CG4096,CG33483,NA,NA,NA,NA,NA,eIF2B-beta,NA,NA,NA,NA,NA
CG1513,NA,NA,CG41106,CG33514,NA,NA,NA,NA,NA,eIF4E-7,NA,NA,NA,NA,NA
CG15136,NA,NA,CG4116,CG3355,NA,NA,NA,NA,NA,eIF5B,NA,NA,NA,NA,NA
CG15142,NA,NA,CG4194,CG33557,NA,NA,NA,NA,NA,Eip55E,NA,NA,NA,NA,NA
CG15143,NA,NA,CG4213,CG33626,NA,NA,NA,NA,NA,Elp3,NA,NA,NA,NA,NA
CG15145,NA,NA,CG42231,CG33627,NA,NA,NA,NA,NA,ens,NA,NA,NA,NA,NA
CG15147,NA,NA,CG42235,CG33673,NA,NA,NA,NA,NA,Ent2,NA,NA,NA,NA,NA
CG15152,NA,NA,CG42239,CG33679,NA,NA,NA,NA,NA,epsilonCOP,NA,NA,NA,NA,NA
CG15153,NA,NA,CG42240,CG33704,NA,NA,NA,NA,NA,eRF1,NA,NA,NA,NA,NA
CG15155,NA,NA,CG42246,CG33723,NA,NA,NA,NA,NA,ERp60,NA,NA,NA,NA,NA
CG15161,NA,NA,CG42264,CG33757,NA,NA,NA,NA,NA,etaTry,NA,NA,NA,NA,NA
CG15167,NA,NA,CG42269,CG33772,NA,NA,NA,NA,NA,Etf-QO,NA,NA,NA,NA,NA
CG15168,NA,NA,CG42313,CG33773,NA,NA,NA,NA,NA,Ets65A,NA,NA,NA,NA,NA
CG15172,NA,NA,CG42321,CG33775,NA,NA,NA,NA,NA,Exo84,NA,NA,NA,NA,NA
CG15185,NA,NA,CG42324,CG33798,NA,NA,NA,NA,NA,Ext2,NA,NA,NA,NA,NA
CG15196,NA,NA,CG42326,CG33919,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA
CG15198,NA,NA,CG42346,CG33927,NA,NA,NA,NA,NA,Fad2,NA,NA,NA,NA,NA
CG15200,NA,NA,CG42365,CG33934,NA,NA,NA,NA,NA,Faf2,NA,NA,NA,NA,NA
CG15208,NA,NA,CG42367,CG33958,NA,NA,NA,NA,NA,Fak,NA,NA,NA,NA,NA
CG15209,NA,NA,CG42371,CG33998,NA,NA,NA,NA,NA,FASN1,NA,NA,NA,NA,NA
CG15210,NA,NA,CG42374,CG34025,NA,NA,NA,NA,NA,fbl,NA,NA,NA,NA,NA
CG15212,NA,NA,CG42376,CG34038,NA,NA,NA,NA,NA,fbp,NA,NA,NA,NA,NA
CG15219,NA,NA,CG4238,CG34040,NA,NA,NA,NA,NA,Fcp3C,NA,NA,NA,NA,NA
CG15225,NA,NA,CG42496,CG34041,NA,NA,NA,NA,NA,fd96Cb,NA,NA,NA,NA,NA
CG15227,NA,NA,CG4250,CG34049,NA,NA,NA,NA,NA,FeCH,NA,NA,NA,NA,NA
CG1523,NA,NA,CG42516,CG34051,NA,NA,NA,NA,NA,Femcoat,NA,NA,NA,NA,NA
CG15233,NA,NA,CG42540,CG34112,NA,NA,NA,NA,NA,Fer2LCH,NA,NA,NA,NA,NA
CG15237,NA,NA,CG42544,CG34115,NA,NA,NA,NA,NA,Fer3HCH,NA,NA,NA,NA,NA
CG15239,NA,NA,CG42566,CG34116,NA,NA,NA,NA,NA,fidipidine,NA,NA,NA,NA,NA
CG15252,NA,NA,CG42568,CG34124,NA,NA,NA,NA,NA,Fie,NA,NA,NA,NA,NA
CG15256,NA,NA,CG4259,CG34161,NA,NA,NA,NA,NA,Fim,NA,NA,NA,NA,NA
CG15258,NA,NA,CG42613,CG34162,NA,NA,NA,NA,NA,Fip1,NA,NA,NA,NA,NA
CG15260,NA,NA,CG4266,CG34172,NA,NA,NA,NA,NA,fit,NA,NA,NA,NA,NA
CG15262,NA,NA,CG42663,CG34175,NA,NA,NA,NA,NA,Fit1,NA,NA,NA,NA,NA
CG15263,NA,NA,CG42672,CG34176,NA,NA,NA,NA,NA,Fkbp14,NA,NA,NA,NA,NA
CG15269,NA,NA,CG42674,CG34181,NA,NA,NA,NA,NA,FKBP59,NA,NA,NA,NA,NA
CG15278,NA,NA,CG4271,CG34184,NA,NA,NA,NA,NA,fl(2)d,NA,NA,NA,NA,NA
CG15279,NA,NA,CG42724,CG34193,NA,NA,NA,NA,NA,fln,NA,NA,NA,NA,NA
CG15283,NA,NA,CG42741,CG34195,NA,NA,NA,NA,NA,fog,NA,NA,NA,NA,NA
CG15293,NA,NA,CG42789,CG34199,NA,NA,NA,NA,NA,frma,NA,NA,NA,NA,NA
CG15296,NA,NA,CG42807,CG34200,NA,NA,NA,NA,NA,Fs,NA,NA,NA,NA,NA
CG15317,NA,NA,CG42851,CG34201,NA,NA,NA,NA,NA,fs(1)K10,NA,NA,NA,NA,NA
CG15330,NA,NA,CG4294,CG34203,NA,NA,NA,NA,NA,fs(1)N,NA,NA,NA,NA,NA
CG15333,NA,NA,CG43052,CG34204,NA,NA,NA,NA,NA,fs(2)ltoPP43,NA,NA,NA,NA,NA
CG15336,NA,NA,CG4306,CG34205,NA,NA,NA,NA,NA,ftz-f1,NA,NA,NA,NA,NA
CG15337,NA,NA,CG43102,CG34214,NA,NA,NA,NA,NA,fu12,NA,NA,NA,NA,NA
CG15347,NA,NA,CG43103,CG34217,NA,NA,NA,NA,NA,FucT6,NA,NA,NA,NA,NA
CG15356,NA,NA,CG4313,CG34220,NA,NA,NA,NA,NA,Fur1,NA,NA,NA,NA,NA
CG15357,NA,NA,CG43134,CG34223,NA,NA,NA,NA,NA,Fur2,NA,NA,NA,NA,NA
CG15358,NA,NA,CG43153,CG34224,NA,NA,NA,NA,NA,fusl,NA,NA,NA,NA,NA
CG15362,NA,NA,CG43244,CG34235,NA,NA,NA,NA,NA,fz3,NA,NA,NA,NA,NA
CG15368,NA,NA,CG43322,CG34253,NA,NA,NA,NA,NA,G9a,NA,NA,NA,NA,NA
CG1537,NA,NA,CG43376,CG34254,NA,NA,NA,NA,NA,GABPI,NA,NA,NA,NA,NA
CG15375,NA,NA,CG4364,CG34259,NA,NA,NA,NA,NA,Gad1,NA,NA,NA,NA,NA
CG15387,NA,NA,CG43666,CG34264,NA,NA,NA,NA,NA,Gale,NA,NA,NA,NA,NA
CG15395,NA,NA,CG43668,CG34266,NA,NA,NA,NA,NA,galectin,NA,NA,NA,NA,NA
CG15398,NA,NA,CG43774,CG34268,NA,NA,NA,NA,NA,GalNAc-T1,NA,NA,NA,NA,NA
CG15399,NA,NA,CG43780,CG34282,NA,NA,NA,NA,NA,Galphaq,NA,NA,NA,NA,NA
CG15403,NA,NA,CG43781,CG34287,NA,NA,NA,NA,NA,gammaCOP,NA,NA,NA,NA,NA
CG15404,NA,NA,CG4390,CG34291,NA,NA,NA,NA,NA,gammaSnap1,NA,NA,NA,NA,NA
CG15406,NA,NA,CG44153,CG34296,NA,NA,NA,NA,NA,gammaTry,NA,NA,NA,NA,NA
CG15414,NA,NA,CG44243,CG34297,NA,NA,NA,NA,NA,gammaTub37C,NA,NA,NA,NA,NA
CG15418,NA,NA,CG44245,CG34298,NA,NA,NA,NA,NA,Gas8,NA,NA,NA,NA,NA
CG15422,NA,NA,CG44250,CG34312,NA,NA,NA,NA,NA,Gasz,NA,NA,NA,NA,NA
CG15423,NA,NA,CG4433,CG34334,NA,NA,NA,NA,NA,gbb,NA,NA,NA,NA,NA
CG15425,NA,NA,CG44405,CG34417,NA,NA,NA,NA,NA,Gclc,NA,NA,NA,NA,NA
CG15429,NA,NA,CG4502,CG34424,NA,NA,NA,NA,NA,GCS1,NA,NA,NA,NA,NA
CG15431,NA,NA,CG45049,CG34433,NA,NA,NA,NA,NA,GCS2beta,NA,NA,NA,NA,NA
CG15435,NA,NA,CG4577,CG34448,NA,NA,NA,NA,NA,Gdi,NA,NA,NA,NA,NA
CG15439,NA,NA,CG4592,CG34453,NA,NA,NA,NA,NA,Ggamma1,NA,NA,NA,NA,NA
